name,styleUrl,longitude,latitude,ward
SUVARNA HOSPITAL (BORIVALI -W),0,72.845854,19.2239,NW-30
VAISHALI BHAVAN (KANDIVALI-W),0,72.838954,19.205114,NW-30
YASHKRIPA BUILDING,0,72.841995,19.221368,NW-30
PRABODHANKAR THACKERAY NAGAR MARKET (CHARKOP),0,72.828447,19.216155,NW-30
AGARKAR CHOWK (ANDHERI-E),0,72.848038,19.11748,NW-27
AMRUT SHAKTI,0,72.897102,19.107873,NW-20
ASHIRWAD SOCIETY,0,72.896568,19.112607,NW-20
BAHAR CINEMA,0,72.853915,19.110907,NW-27
BAMANDAYA PADA,0,72.886888,19.122938,NW-20
BAMAN PADA (CHAKALA),0,72.858861,19.104613,NW-27
BELA NIVAS,0,72.861764,19.114227,NW-27
BEST QUARRIES (CHANDIVALI),0,72.90095,19.111804,NW-20
BLOSSOM COMPANY,0,72.881569,19.117028,NW-20
C-CROSS ROAD (SEEPZ ),0,72.872118,19.122814,NW-2
CHAKALA,0,72.858951,19.113195,NW-27
CHAKALA CIGARETTE FACTORY,0,72.85886,19.107468,NW-27
CHANDIVALI VILLAGE,0,72.898839,19.114225,NW-20
CHHATRAPATI SHIVAJI INTERNATIONAL AIRPORT (SAHAR),0,72.87463,19.100664,NW-20
"DARPAN CINEMA, SAI SERVICE",0,72.85547,19.116979,NW-27
DOMESTIC AIRPORT JUNCTION,0,72.851532,19.09347,NW-27
"DR.DATTA SAMANT CHOWK, SAKINAKA",0,72.885385,19.105963,NW-20
GANESH PADA,0,72.885511,19.120824,NW-20
GAUTAM NAGAR (MIDC-MAROL),0,72.869783,19.118432,NW-2
GOKHALE BRIDGE (ANDHERI-W),0,72.847659,19.115538,NW-27
"SHRI SWAMI SAMARTH MUTT, HANUMAN ROAD (VILE PARLE-E)",0,72.85143,19.103714,NW-27
HANUMAN SOCIETY BUILDING NO.5 (VILE PARLE-E),0,72.85218,19.105187,NW-27
"ICICI BANK  (CHANDIVLI), SINHAGAD COLLEGE",0,72.896634,19.113573,NW-20
INDIAN OIL (SAHAR),0,72.871169,19.10321,NW-27
J.B.NAGAR (ANDHERI-E),0,72.864571,19.10832,NW-27
"MAROL VILLAGE, LOKBHARTHI",0,72.880097,19.113422,NW-20
JAMBHULPADA,0,72.898894,19.094061,NW-28
JUNGLESHWAR MAHADEO MANDIR,0,72.898587,19.100881,NW-20
KHERANI BAUG,0,72.8991,19.102815,NW-20
KULKARNI WADI,0,72.89779,19.098451,NW-28
GANESH SOCIETY (KANDIVALI-W),0,72.830841,19.219373,NW-30
GOKHALE HIGH SCHOOL (BORIVALI -W),0,72.850914,19.223704,NW-30
"GOVERDHAN NAGAR, BORSAPADA",0,72.846928,19.212256,NW-30
HARIDAS NAGAR,0,72.847891,19.221706,NW-30
"HINDUSTAN NAKA, C.CHARANSINGH CHOWK",0,72.829367,19.20807,NW-30
INDIAN EDUCATION SCHOOL (KANDIVALI-W),0,72.824094,19.213586,NW-30
JAY GANGA,0,72.820786,19.211768,NW-30
MAHATMA GANDHI SWIMMING POOL (KANDIVALI-W),0,72.844251,19.205379,NW-30
KAMRAJ NAGAR (KANDIVALI-W),0,72.834996,19.208625,NW-30
KANDIVALI STATION (W),0,72.850809,19.204684,NW-30
KANDIVALI VILLAGE,0,72.842177,19.205694,NW-30
"GANESH MANDIR, KASTUR PARK",0,72.848537,19.223739,NW-30
MAHAVIR NAGAR (KANDIVLI-W),0,72.839633,19.211952,NW-30
MAHAVIR NAGAR -EXTENSION (KANDIVLI-W),0,72.838813,19.215665,NW-30
DENA BANK (KANDIVALI-W),0,72.848759,19.204244,NW-30
MILAP TALKIES,0,72.847519,19.196248,NW-6
PADMAJA SOCIETY,0,72.826003,19.204581,NW-23
NETAJI SUBHASHCHANDRA BOSE SPORTS COMPLEX,0,72.845235,19.2123,NW-30
CHARKOP SECTOR 5,0,72.825852,19.215457,NW-30
CHARKOP SECTOR 8,0,72.813059,19.214941,NW-23
PRABODHANKAR THACKERAY NAGAR BUS STATION (CHARKOP),0,72.829237,19.215451,NW-30
BHABREKAR NAGAR NO.1,0,72.824034,19.205447,NW-23
PUNCHASHEEL APARTMENTS,0,72.841364,19.213372,NW-30
"DR.AMBEDKAR HOSPITAL, PAREKH NAGAR",0,72.850648,19.208283,NW-30
"MAHAVIR NAGAR EXTENSION (KANDIVLI-W), PARIJAT SOCIETY",0,72.839509,19.214392,NW-30
POISAR DEPOT,0,72.850987,19.213649,NW-30
PRAPTI SOCIETY,0,72.839494,19.220716,NW-30
RASHMI RATHI SOCIETY,0,72.835865,19.215446,NW-30
RENUKA NAGAR,0,72.835878,19.211408,NW-30
SAI CHITRA SOCIETY (KANDIVALI-W),0,72.820963,19.216285,NW-30
SAI SIDDHI SOCIETY (KANDIVALI-W),0,72.81614,19.215214,NW-30
SAIBABA NAGAR (BORIVALI -W),0,72.845041,19.217214,NW-30
SHANTI NAGAR (KANDIVALI-W),0,72.834703,19.206394,NW-30
NAHAR ESTATE,0,72.89697,19.105642,NW-20
MARWAH ROAD JUNCTION (SAKI VIHAR ROAD),0,72.887626,19.109216,NW-20
ASHOK NAGAR (MAROL MAROSHI),0,72.88517,19.118032,NW-20
"CHANDVALI STUDIO, PETROL PUMP",0,72.897043,19.114513,NW-20
SAVITRIBAI PHULE NAGAR,0,72.863796,19.10046,NW-27
